meter_id,meter_serial_no,building_id,tariff_plan_id,meter_type,capacity_kw,meter_status,voltage_class,installed_date,effective_from,effective_to
MTR0001,GP-100001,BLD001,PLAN-A,MAIN,100.0,ACTIVE,415V_3PH,2019-02-03,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0002,GP-100002,BLD001,PLAN-B,HVAC,150.0,ACTIVE,415V_3PH,2020-03-05,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0003,GP-100003,BLD001,PLAN-A,LIGHTING,90.0,ACTIVE,415V_3PH,2021-04-07,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0004,GP-100004,BLD001,PLAN-B,SUBMETER,130.0,ACTIVE,415V_3PH,2022-05-09,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0005,GP-100005,BLD001,PLAN-A,SUBMETER,130.0,ACTIVE,415V_3PH,2023-06-11,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0006,GP-100006,BLD001,PLAN-B,SUBMETER,120.0,ACTIVE,415V_3PH,2024-07-13,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0007,GP-100007,BLD002,PLAN-A,MAIN,150.0,ACTIVE,415V_3PH,2018-08-15,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0008,GP-100008,BLD002,PLAN-B,HVAC,130.0,ACTIVE,415V_3PH,2019-09-17,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0009,GP-100009,BLD002,PLAN-A,LIGHTING,130.0,ACTIVE,415V_3PH,2020-10-19,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0010,GP-100010,BLD002,PLAN-B,LAB_EQUIPMENT,150.0,ACTIVE,415V_3PH,2021-11-21,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0011,GP-100011,BLD002,PLAN-A,SUBMETER,150.0,ACTIVE,415V_3PH,2022-12-23,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0012,GP-100012,BLD002,PLAN-B,SUBMETER,140.0,ACTIVE,415V_3PH,2023-01-25,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0013,GP-100013,BLD003,PLAN-A,MAIN,140.0,ACTIVE,415V_3PH,2024-02-27,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0014,GP-100014,BLD003,PLAN-B,HVAC,120.0,ACTIVE,415V_3PH,2018-03-02,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0015,GP-100015,BLD003,PLAN-A,LIGHTING,160.0,ACTIVE,415V_3PH,2019-04-04,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0016,GP-100016,BLD003,PLAN-B,SUBMETER,110.0,ACTIVE,415V_3PH,2020-05-06,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0017,GP-100017,BLD003,PLAN-A,SUBMETER,110.0,ACTIVE,415V_3PH,2021-06-08,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0018,GP-100018,BLD003,PLAN-B,SUBMETER,120.0,ACTIVE,415V_3PH,2022-07-10,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0019,GP-100019,BLD004,PLAN-A,MAIN,190.0,ACTIVE,415V_3PH,2023-08-12,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
MTR0020,GP-100020,BLD004,PLAN-B,HVAC,190.0,ACTIVE,415V_3PH,2024-09-14,2026-01-01T00:00:00.000Z,2026-12-31T23:59:59.000Z
