reading_id,meter_id,building_id,date_key,reading_ts,energy_kwh,active_power_kw,voltage_v,current_a,power_factor,tariff_plan_id,tariff_id,time_band,rate_per_kwh,peak_flag,estimated_cost,reading_quality_flag,source_system,producer_run_id,reading_failed,dq_status
RDG-MTR0001-00000,MTR0001,BLD001,2026-01-01,2026-01-01T00:00:00.000Z,1.3574,5.404,412.9,8.226,0.9186,PLAN-A,TRF001,NIGHT,5.5,False,7.4657,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00001,MTR0001,BLD001,2026-01-01,2026-01-01T00:15:00.000Z,1.4064,5.662,422.95,8.181,0.9447,PLAN-A,TRF001,NIGHT,5.5,False,7.735200000000001,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00002,MTR0001,BLD001,2026-01-01,2026-01-01T00:30:00.000Z,1.393,5.5018,415.06,8.032,0.9528,PLAN-A,TRF001,NIGHT,5.5,False,7.6615,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00003,MTR0001,BLD001,2026-01-01,2026-01-01T00:45:00.000Z,1.4129,5.5369,415.5,8.439,0.9116,PLAN-A,TRF001,NIGHT,5.5,False,7.77095,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00004,MTR0001,BLD001,2026-01-01,2026-01-01T01:00:00.000Z,1.4734,5.9136,416.55,8.649,0.9477,PLAN-A,TRF001,NIGHT,5.5,False,8.1037,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00005,MTR0001,BLD001,2026-01-01,2026-01-01T01:15:00.000Z,1.5344,6.182,416.12,9.25,0.9273,PLAN-A,TRF001,NIGHT,5.5,False,8.4392,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00006,MTR0001,BLD001,2026-01-01,2026-01-01T01:30:00.000Z,1.4541,5.8263,416.94,8.982,0.8982,PLAN-A,TRF001,NIGHT,5.5,False,7.9975499999999995,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00007,MTR0001,BLD001,2026-01-01,2026-01-01T01:45:00.000Z,1.559,6.249,414.49,9.165,0.9497,PLAN-A,TRF001,NIGHT,5.5,False,8.5745,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00008,MTR0001,BLD001,2026-01-01,2026-01-01T02:00:00.000Z,1.4971,5.9639,408.78,9.068,0.9289,PLAN-A,TRF001,NIGHT,5.5,False,8.23405,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
RDG-MTR0001-00009,MTR0001,BLD001,2026-01-01,2026-01-01T02:15:00.000Z,1.4678,5.8702,416.61,8.957,0.9083,PLAN-A,TRF001,NIGHT,5.5,False,8.0729,ACTUAL,GRIDPULSE_SIM,P05-GRIDPULSE-SOURCE-V1,False,PASS
